item_id,prompt,category,subcategory,reasoning,question_natural_language,choices,answer
1,"There are two transparent glass cups on the table. The glass cup on the left contains an oil-water mixture, while the glass cup on the right contains oil. A spoon is placed in the middle.",Physical scene,Density and Separation,The oil-water mixture in the glass on the left is separated into layers.,Is the oil-water mixture in the left glass separated into layers in the image?,"['yes', 'no']",yes
1,"There are two transparent glass cups on the table. The glass cup on the left contains an oil-water mixture, while the glass cup on the right contains oil. A spoon is placed in the middle.",Physical scene,Color and Substance Properties,The oil in the glass is yellow.,Is the oil in the glass yellow in the image?,"['yes', 'no']",yes
1,"There are two transparent glass cups on the table. The glass cup on the left contains an oil-water mixture, while the glass cup on the right contains oil. A spoon is placed in the middle.",Physical scene,Density and Separation,The oil in the glass on the left is above the water.,Is the oil on top of the water in the left glass in the image?,"['yes', 'no']",yes
1,"There are two transparent glass cups on the table. The glass cup on the left contains an oil-water mixture, while the glass cup on the right contains oil. A spoon is placed in the middle.",Physical scene,Density and Separation,The water in the glass on the left is below the oil.,Is the water below the oil in the left glass in the image?,"['yes', 'no']",yes
2,A steel ball and a bright red rubber ball are thrown into a clear swimming pool.,Physical scene,Buoyancy,"The steel ball is dense and will sink, while the rubber ball is less dense and will float on the surface of the water.",Are both balls visible in the clear swimming pool in the image?,"['yes', 'no']",yes
2,A steel ball and a bright red rubber ball are thrown into a clear swimming pool.,Physical scene,Buoyancy,"The steel ball is dense and will sink, while the rubber ball is less dense and will float on the surface of the water.",Has the steel ball sunk in the pool in the image?,"['yes', 'no']",yes
2,A steel ball and a bright red rubber ball are thrown into a clear swimming pool.,Physical scene,Buoyancy,"The steel ball is dense and will sink, while the rubber ball is less dense and will float on the surface of the water.",Has the rubber ball floated on the surface of the pool in the image?,"['yes', 'no']",yes
3,"One person holds a magnet and another person holds a piece of wood, and they approach the iron filings on the paper at the same time.",Physical scene,Magnetic field,The iron filings will be attracted to the magnet.,Is there iron filings on the magnets in the image?,"['yes','no']",yes
3,"One person holds a magnet and another person holds a piece of wood, and they approach the iron filings on the paper at the same time.",Physical scene,Magnetic field,"Because wood is a non-magnetic material, it will not attract iron filings.",Is there iron filings on the wood in the image?,"['yes','no']",no
4,"There are two transparent glasses. The left glass contains fresh water, and the right glass contains highly concentrated salt water. Put an egg in each transparent glass.",Physical scene,Buoyancy,The egg in the left glass is at the bottom of the glass.,What is the state of the egg in the left cup (the fresh water) in the image?,"['sink', 'float']",sink
4,"There are two transparent glasses. The left glass contains fresh water, and the right glass contains highly concentrated salt water. Put an egg in each transparent glass.",Physical scene,Buoyancy,The egg in the right glass is above the water in the glass.,What is the state of the egg in the right cup (the highly concentrated salt water) in the image?,"['sink', 'float']",float
5,"On the grass, a person throws a red ball horizontally to the right, and at the same time drops a blue ball from the same height.",Physical scene,Gravity and Projectile Motion,The two balls should be at the same height.,Are the two balls at the same height in the image?,"['yes', 'no']",yes
6,A teacher drops a drop of concentrated sulfuric acid onto a pile of sugar on the table.,Chemical scenes,Acid and Sugar Reaction,The concentrated sulfuric acid will react with the sugar.,Will the concentrated sulfuric acid react with the sugar in the image in the image?,"['yes', 'no']",yes
6,A teacher drops a drop of concentrated sulfuric acid onto a pile of sugar on the table.,Chemical scenes,Acid and Sugar Reaction,The reaction between sulfuric acid and sugar may produce carbon (blackened sugar) and water vapor.,Will the sugar turn black in the image due to the reaction with sulfuric acid in the image?,"['yes', 'no']",yes
